m#id	m#node	C#dc	C#cc	C#bc	C#pr	C#c	D#community	cD#class
1	java.applet.Applet	0.036964	0.493807	0.002198	0.001921	0.207407	2	0
2	java.applet.AppletContext	0.007921	0.476415	0.000199	0.000564	0.400000	5	0
3	java.applet.AppletStub	0.003300	0.472110	0.000000	0.000304	0.900000	5	0
4	java.applet.AudioClip	0.001980	0.331220	0.000000	0.000214	1.000000	5	0
5	java.awt.AWTError	0.004620	0.477316	0.000000	0.000377	0.952381	1	1
6	java.awt.AWTEvent	0.045545	0.494129	0.002075	0.002525	0.158568	2	1
7	java.awt.AWTEventMulticaster	0.023102	0.486513	0.001827	0.001395	0.191597	2	1
8	java.awt.AWTException	0.004620	0.477617	0.000000	0.000374	0.952381	1	1
9	java.awt.AWTKeyStroke	0.003960	0.477466	0.000001	0.000350	0.800000	0	1
10	java.awt.AWTPermission	0.003960	0.476865	0.000000	0.000352	1.000000	7	1
11	java.awt.ActiveEvent	0.001980	0.324550	0.000001	0.000258	0.000000	0	1
12	java.awt.Adjustable	0.003960	0.332529	0.000005	0.000324	0.200000	2	1
13	java.awt.AlphaComposite	0.004620	0.479734	0.000697	0.000400	0.571429	4	1
14	java.awt.AttributeValue	0.001980	0.476415	0.000000	0.000222	1.000000	0	1
15	java.awt.BasicStroke	0.003300	0.477165	0.000643	0.000323	0.400000	4	1
16	java.awt.BorderLayout	0.005281	0.481411	0.000001	0.000389	0.857143	2	1
17	java.awt.BufferCapabilities	0.020462	0.485266	0.000527	0.001042	0.260215	2	1
18	java.awt.Button	0.029703	0.491883	0.000837	0.001493	0.230303	2	1
19	java.awt.Canvas	0.030363	0.492043	0.000707	0.001521	0.229952	2	1
20	java.awt.CardLayout	0.005281	0.481411	0.000001	0.000389	0.857143	2	1
21	java.awt.Checkbox	0.031683	0.492523	0.001215	0.001584	0.213691	2	1
22	java.awt.CheckboxGroup	0.004620	0.479582	0.000002	0.000319	0.600000	7	1
23	java.awt.CheckboxMenuItem	0.008581	0.480800	0.000760	0.000592	0.384615	2	1
24	java.awt.Choice	0.030363	0.492363	0.001193	0.001539	0.220290	2	1
25	java.awt.Color	0.036964	0.492843	0.000927	0.001857	0.246753	2	1
26	java.awt.ColorPaintContext	0.003960	0.479279	0.000089	0.000329	0.800000	4	1
27	java.awt.Component	0.079868	0.506012	0.004789	0.003987	0.230053	2	1
28	java.awt.ComponentOrientation	0.016502	0.485888	0.000010	0.000875	0.460000	2	1
29	java.awt.Composite	0.003300	0.336218	0.000013	0.000308	0.400000	4	1
30	java.awt.CompositeContext	0.002640	0.327214	0.000001	0.000275	0.333333	4	1
31	java.awt.Container	0.052805	0.499176	0.002383	0.002637	0.356118	2	1
32	java.awt.ContainerOrderFocusTraversalPolicy	0.005941	0.482024	0.000001	0.000425	0.833333	2	1
33	java.awt.Cursor	0.018482	0.487138	0.000263	0.000989	0.396825	2	1
34	java.awt.DefaultFocusTraversalPolicy	0.004620	0.481564	0.000000	0.000350	1.000000	2	1
35	java.awt.DefaultKeyboardFocusManager	0.009901	0.483716	0.001054	0.000692	0.514286	2	1
36	java.awt.Desktop	0.003300	0.477316	0.000000	0.000316	1.000000	5	1
37	java.awt.Dialog	0.040924	0.495260	0.001550	0.002048	0.268641	2	1
38	java.awt.Dimension	0.037624	0.492363	0.002012	0.002018	0.214912	2	1
39	java.awt.DisplayMode	0.002640	0.476565	0.000000	0.000266	1.000000	0	1
40	java.awt.Event	0.021122	0.487452	0.000163	0.001130	0.429435	2	1
