m#id	m#node	C#dc	C#cc	C#bc	C#pr	C#c	D#community	cD#class
1	1	0.484848	0.568966	0.437635	0.097002	0.150000	1	0
2	2	0.272727	0.485294	0.053937	0.052878	0.333333	1	0
3	3	0.303030	0.559322	0.143657	0.057078	0.244444	1	0
4	4	0.181818	0.464789	0.011909	0.035861	0.666667	1	0
5	5	0.090909	0.379310	0.000631	0.021979	0.666667	2	0
6	6	0.121212	0.383721	0.029987	0.029113	0.500000	2	0
7	7	0.121212	0.383721	0.029987	0.029113	0.500000	2	0
8	8	0.121212	0.440000	0.000000	0.024491	1.000000	1	0
9	9	0.151515	0.515625	0.055927	0.029765	0.500000	0	1
10	10	0.060606	0.434211	0.000848	0.014309	0.000000	1	1
11	11	0.090909	0.379310	0.000631	0.021979	0.666667	2	0
12	12	0.030303	0.366667	0.000000	0.009565	0.000000	1	0
13	13	0.060606	0.370787	0.000000	0.014645	1.000000	1	0
14	14	0.151515	0.515625	0.045863	0.029536	0.600000	1	0
15	15	0.060606	0.370787	0.000000	0.014535	1.000000	0	1
16	16	0.060606	0.370787	0.000000	0.014535	1.000000	0	1
17	17	0.060606	0.284483	0.000000	0.016785	1.000000	2	0
18	18	0.060606	0.375000	0.000000	0.014559	1.000000	1	0
19	19	0.060606	0.370787	0.000000	0.014535	1.000000	0	1
20	20	0.090909	0.500000	0.032475	0.019604	0.333333	1	0
21	21	0.060606	0.370787	0.000000	0.014535	1.000000	0	1
22	22	0.060606	0.375000	0.000000	0.014559	1.000000	1	0
23	23	0.060606	0.370787	0.000000	0.014535	1.000000	0	1
24	24	0.151515	0.392857	0.017614	0.031521	0.400000	0	1
25	25	0.090909	0.375000	0.002210	0.021075	0.333333	3	1
26	26	0.090909	0.375000	0.003840	0.021006	0.333333	3	1
27	27	0.060606	0.362637	0.000000	0.015043	1.000000	0	1
28	28	0.121212	0.458333	0.022333	0.025639	0.166667	0	1
29	29	0.090909	0.452055	0.001795	0.019573	0.333333	3	1
30	30	0.121212	0.383721	0.002922	0.026287	0.666667	0	1
31	31	0.121212	0.458333	0.014412	0.024589	0.500000	0	1
32	32	0.181818	0.540984	0.138276	0.037157	0.200000	3	1
33	33	0.363636	0.515625	0.145247	0.071692	0.196970	0	1
34	34	0.515152	0.550000	0.304075	0.100918	0.110294	0	1
